airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,1,5953
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,1,5953
AirAsia,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,1,5956
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,1,5955
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,1,5955
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,1,5955
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,1,6060
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,1,6060
GO_FIRST,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,1,5954
GO_FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,1,5954
GO_FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,1,5954
GO_FIRST,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,1,5954
Indigo,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,1,5955
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,1,5955
Indigo,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,1,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,1,5955
Air_India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,1,5955
Air_India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,1,5955
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,1,5949
AirAsia,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,1,5949
GO_FIRST,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,1,5954
GO_FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.5,1,5954
GO_FIRST,Delhi,Evening,one,Morning,Mumbai,Economy,15.67,1,5954
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,3.75,1,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,1,6165
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,1,6690
Indigo,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,1,6585
AirAsia,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.83,1,8869
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,1,10260
Indigo,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,1,10470
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,1,10575
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,6,1,10838
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,14.67,1,12150
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,16.17,1,12150
Vistara,Delhi,Afternoon,one,Morning,Mumbai,Economy,18,1,12150
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,23.17,1,12150
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,24.17,1,12150
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.83,1,11900
SpiceJet,Delhi,Evening,one,Night,Mumbai,Economy,4.5,1,12123
SpiceJet,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,1,12123
Air_India,Delhi,Night,one,Morning,Mumbai,Economy,11,1,12150
Air_India,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08,1,12150
Air_India,Delhi,Morning,one,Morning,Mumbai,Economy,22.83,1,12150
Air_India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42,1,12150
Air_India,Delhi,Night,one,Afternoon,Mumbai,Economy,17.75,1,12215
SpiceJet,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.58,1,12230
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,1,12780
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,1,12885
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,1,12539
Air_India,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,12938
Air_India,Delhi,Night,one,Morning,Mumbai,Economy,11.42,1,12990
Air_India,Delhi,Morning,one,Morning,Mumbai,Economy,22.25,1,12990
Air_India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26,1,12990
Air_India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.75,1,13086
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,1,13279
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,4.42,1,13279
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,1,13279
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,1,13279
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,10.42,1,13279
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75,1,13673
Air_India,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,1,13410
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,1,13935
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,1,14040
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,1,14040
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,26.67,1,14093
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,28.17,1,14093
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,28.25,1,14093
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,8,1,13767
GO_FIRST,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,1,13932
Vistara,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92,1,14408
Vistara,Delhi,Night,one,Night,Mumbai,Economy,26.42,1,14408
Air_India,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,1,14250
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,1,14539
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83,1,14985
Air_India,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,14670
Air_India,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,1,15195
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,1,15720
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,24.42,1,15983
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,26,1,15983
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,1,15720
SpiceJet,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,1,15720
Indigo,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,1,15720
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,29.33,1,16245
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,4.42,1,16613
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,17,1,16665
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,26.67,1,16665
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,27.17,1,16455
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,24.75,1,16665
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,5.75,1,17348
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,17348
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.75,1,17348
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,13.75,1,17348
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,1,17348
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.5,1,17400
Vistara,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,1,17505
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,17610
Air_India,Delhi,Night,one,Night,Mumbai,Economy,23.83,1,17295
Vistara,Delhi,Afternoon,one,Evening,Mumbai,Economy,5,1,17663
Air_India,Delhi,Night,one,Night,Mumbai,Economy,26.5,1,18030
Vistara,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,18398
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.83,1,18450
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,8.92,1,18487
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,6,1,18923
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,11.17,1,18923
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.17,1,18923
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,1,19238
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,15.75,1,19920
Air_India,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,1,19710
Air_India,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,1,19710
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,16,1,20130
Air_India,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,1,19815
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,6,1,21075
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,6.33,1,21111
Air_India,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,1,23206
Air_India,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08,1,24540
Air_India,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11,1,25800
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,18.25,1,27270
Air_India,Delhi,Morning,one,Evening,Mumbai,Economy,6.08,1,29580
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,2,5953
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5953
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,2,5955
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5955
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5955
Vistara,Delhi,Night,zero,Night,Mumbai,Economy,2.17,2,6060
GO_FIRST,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5954
GO_FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,2,5954
GO_FIRST,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5954
GO_FIRST,Delhi,Night,zero,Night,Mumbai,Economy,2.25,2,5954
GO_FIRST,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,2,5954
GO_FIRST,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5954
Indigo,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5955
Indigo,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,2,5955
Indigo,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,2,5955
Indigo,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,2,5955
Indigo,Delhi,Night,zero,Night,Mumbai,Economy,2.25,2,5955
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,2,5955
AirAsia,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,2,5956
Air_India,Delhi,Evening,zero,Evening,Mumbai,Economy,2,2,5955
Air_India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,2,5955
Air_India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5955
Air_India,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
Air_India,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5955
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,2,5949
AirAsia,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,2,5949
GO_FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.33,2,5954
GO_FIRST,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33,2,5954
Air_India,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.5,2,5955
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,3.75,2,5955
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,2,6375
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,2,7530
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,2,7530
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,2,7530
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,2,7419
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,2,7845
Indigo,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,2,8396
SpiceJet,Delhi,Evening,one,Night,Mumbai,Economy,4.5,2,8869
SpiceJet,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,2,9183
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,9840
Air_India,Delhi,Morning,one,Night,Mumbai,Economy,14.17,2,9840
Air_India,Delhi,Morning,one,Night,Mumbai,Economy,15.75,2,9840
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,2,10566
Air_India,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.33,2,10303
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.08,2,10523
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,2,10523
Vistara,Delhi,Night,one,Night,Mumbai,Economy,26.42,2,11048
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,4.42,2,10838
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,2,10838
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,10.42,2,10838
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,6.67,2,11100
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,8,2,11326
Indigo,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,9.67,2,11678
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,2,12150
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,14.67,2,12150
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,16.17,2,12150
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,24.17,2,12150
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,2,11814
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,2,11814
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,10.08,2,11900
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.58,2,12308
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,4.42,2,12570
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,23.17,2,12570
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7,2,12623
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,2,12623
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,2,12623
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,12298
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,10.17,2,12302
Air_India,Delhi,Night,one,Night,Mumbai,Economy,23.5,2,12465
Vistara,Delhi,Afternoon,one,Morning,Mumbai,Economy,18,2,12990
Air_India,Delhi,Morning,one,Late_Night,Mumbai,Economy,13.25,2,12675
SpiceJet,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,2,12850
Air_India,Delhi,Night,one,Morning,Mumbai,Economy,11.42,2,12990
Air_India,Delhi,Morning,one,Night,Mumbai,Economy,11.5,2,12990
Air_India,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,2,12990
Air_India,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,2,12990
Air_India,Delhi,Morning,one,Morning,Mumbai,Economy,21.42,2,12990
GO_FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25,2,13069
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.75,2,13321
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,5.33,2,13673
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,2,13830
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,5.75,2,14093
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.17,2,14093
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,13.75,2,14093
Air_India,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,2,13830
GO_FIRST,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,2,14129
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,11.17,2,14513
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.75,2,14513
Air_India,Delhi,Morning,one,Evening,Mumbai,Economy,5.67,2,14250
GO_FIRST,Delhi,Evening,one,Morning,Mumbai,Economy,15.17,2,14409
GO_FIRST,Delhi,Evening,one,Night,Mumbai,Economy,4.75,2,14487
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,6,2,14933
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,2,14933
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,2,15038
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,2,15353
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,2,15353
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,19.33,2,15353
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,26,2,15353
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,28.25,2,15353
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,2,15117
Air_India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26,2,15195
Indigo,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,2,15232
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,6.25,2,15510
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,2,15720
SpiceJet,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,2,15720
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,2,15720
Air_India,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,2,16035
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,9.08,2,16560
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.42,2,16560
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,2,16823
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,24.42,2,17348
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,26.67,2,17348
GO_FIRST,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,2,17136
Air_India,Delhi,Night,one,Night,Mumbai,Economy,23.83,2,18135
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,27.17,2,18135
Vistara,Delhi,Afternoon,one,Evening,Mumbai,Economy,5,2,19343
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,2,19553
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,2,19815
Air_India,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,2,20445
Air_India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.83,2,21180
Air_India,Delhi,Afternoon,one,Night,Mumbai,Economy,8.92,2,22335
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,7.5,2,23281
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,8.83,2,23281
Vistara,Delhi,Morning,one,Afternoon,Mumbai,Economy,27.58,2,24488
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,2,24855
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,28.42,2,25905
